Date,Location,Traffic Volume,Vehicle Type,Weather,Temperature,Speed,Accident,Holiday,Congestion Level
2025-05-25,Downtown,1047,Car,Rainy,24,31.1,No,No,Medium
2024-10-15,Airport,396,Bike,Sunny,22,67.2,No,Yes,Low
2025-01-09,Downtown,694,Bus,Sunny,32,47.2,No,No,Low
2024-04-09,Airport,683,Truck,Cloudy,37,60.7,No,No,Low
2024-02-16,Industrial,406,Truck,Rainy,34,65.8,No,No,Low
2025-02-06,Airport,1109,Truck,Cloudy,33,36.6,No,No,Medium
2026-04-15,South,1005,Car,Foggy,41,31.8,No,No,High
2025-04-30,Airport,1256,Bus,Rainy,38,33.8,No,No,High
2026-04-21,Downtown,819,Car,Sunny,31,52.2,No,No,Medium
2026-03-04,Airport,983,Car,Rainy,39,44.7,No,No,Medium
2024-06-26,South,486,Truck,Cloudy,40,67.6,No,No,Low
2024-09-09,South,748,Bus,Rainy,40,57.1,No,No,Medium
2025-05-06,Airport,610,Truck,Sunny,30,51.6,No,No,Low
2024-02-13,Downtown,777,Truck,Rainy,24,48.9,No,No,Medium
2025-12-13,Downtown,491,Bus,Sunny,38,55.4,No,No,Low
2024-12-04,Downtown,967,Bus,Sunny,31,48.3,No,No,Medium
2025-10-28,South,433,Truck,Cloudy,36,55.7,No,No,Low
2025-03-03,Airport,220,Bike,Rainy,27,72.2,No,No,Medium
2025-09-09,South,775,Bike,Foggy,22,49.0,No,No,Medium
2026-04-08,North,507,Bike,Cloudy,28,57.7,Yes,No,Medium
2025-09-17,Airport,325,Bike,Cloudy,23,69.0,No,No,Low
2024-01-07,North,948,Bike,Rainy,41,42.1,No,No,Medium
2025-12-10,Industrial,734,Car,Cloudy,40,45.6,No,No,Low
2025-01-11,North,844,Bus,Cloudy,29,53.2,No,No,Medium
2026-04-01,Airport,652,Bus,Cloudy,34,56.9,No,No,Low
2025-07-31,Airport,541,Bus,Cloudy,34,56.4,No,No,Low
2025-05-15,East,750,Car,Cloudy,19,51.0,No,No,Low
2025-02-09,Industrial,689,Bus,Cloudy,20,46.4,No,Yes,Low
2024-02-02,North,971,Bus,Rainy,31,45.2,No,No,Medium
2026-06-09,Downtown,597,Bus,Cloudy,35,52.1,No,No,Low
2026-05-04,South,430,Bike,Cloudy,25,65.8,No,No,Low
2024-10-09,Airport,358,Car,Sunny,18,59.7,No,No,Low
2025-08-31,West,355,Car,Sunny,35,58.8,No,Yes,Low
2025-05-30,Airport,773,Truck,Cloudy,25,45.1,No,No,Medium
2024-08-14,South,874,Car,Cloudy,23,50.0,No,No,Medium
2025-05-22,Industrial,583,Bike,Rainy,22,53.7,No,No,Medium
2025-04-29,South,1065,Bus,Rainy,31,33.4,No,No,High
2024-09-05,South,568,Car,Rainy,41,57.3,No,No,Low
2025-11-20,Downtown,584,Car,Sunny,35,54.6,No,No,Low
2024-11-06,North,978,Car,Rainy,40,38.9,No,No,High
2024-09-02,Airport,739,Truck,Sunny,26,57.4,No,No,Low
2024-04-10,Airport,595,Truck,Rainy,36,52.2,No,No,Low
2024-09-24,West,618,Bike,Sunny,36,57.3,No,No,Low
2026-02-20,Industrial,936,Bike,Cloudy,22,49.6,No,No,Medium
2026-06-29,Downtown,351,Car,Rainy,19,62.0,No,Yes,Low
2024-03-10,Downtown,924,Bus,Cloudy,39,50.0,No,No,Medium
2024-01-17,West,205,Bike,Sunny,27,76.8,No,No,Low
2024-04-19,North,486,Bus,Sunny,26,63.6,No,No,Low
2025-04-15,Industrial,295,Bus,Sunny,38,72.2,No,No,Low
2025-01-21,Downtown,843,Car,Rainy,38,41.3,No,No,Medium
2024-02-13,Airport,940,Bike,Sunny,26,35.4,No,No,Medium
2026-05-20,North,527,Bus,Rainy,20,57.9,No,No,Medium
2026-05-04,West,821,Truck,Sunny,40,55.2,No,No,Low
2024-02-24,North,401,Car,Sunny,30,64.0,No,No,Low
2025-05-17,West,948,Bike,Sunny,20,41.1,No,No,Low
2024-03-25,East,788,Bus,Rainy,18,51.5,No,No,Medium
2024-04-14,North,241,Bike,Sunny,18,64.4,No,No,Low
2025-09-04,Downtown,454,Truck,Sunny,35,69.8,No,No,Low
2025-12-02,North,449,Truck,Sunny,31,63.0,No,No,Low
2026-03-12,South,323,Bus,Rainy,32,68.1,No,No,Low
2025-02-09,East,702,Truck,Sunny,38,52.9,No,No,Low
2025-09-09,East,933,Truck,Sunny,41,49.7,No,No,Medium
2026-03-11,East,715,Truck,Rainy,36,48.4,No,No,Medium
2024-01-28,Industrial,876,Bus,Sunny,31,41.0,No,No,Low
2024-09-04,North,938,Bike,Rainy,33,50.5,No,Yes,Medium
2025-07-10,Industrial,878,Car,Sunny,23,37.9,No,No,Medium
2025-10-22,East,497,Truck,Foggy,26,68.1,Yes,No,High
2025-08-17,North,610,Bike,Sunny,40,58.6,No,No,Low
2025-05-09,East,527,Car,Sunny,27,56.9,No,No,Low
2025-05-09,Downtown,936,Bike,Rainy,19,34.6,No,No,High
2025-10-25,Airport,427,Bus,Rainy,35,67.9,No,No,Low
2024-08-25,North,377,Bus,Cloudy,37,69.9,Yes,No,Medium
2024-01-05,North,776,Truck,Rainy,21,52.0,No,No,Medium
2024-07-20,South,611,Bike,Cloudy,37,50.6,No,No,Low
2024-12-26,North,361,Truck,Rainy,28,66.6,No,No,Low
2024-07-06,North,720,Bike,Sunny,23,48.2,No,No,Medium
2024-06-19,North,193,Bus,Sunny,29,68.3,Yes,No,Medium
2026-04-14,West,602,Bike,Sunny,32,49.9,No,No,Medium
2024-02-01,Downtown,1197,Truck,Sunny,36,39.1,No,No,High
2025-06-07,Downtown,416,Truck,Rainy,42,69.4,No,No,Medium
2024-08-11,Industrial,261,Bus,Sunny,29,64.6,No,No,Low
2024-08-02,Industrial,522,Truck,Rainy,37,57.1,No,No,Low
2026-04-04,South,502,Truck,Cloudy,27,59.9,No,No,Low
2025-11-26,Airport,1119,Bike,Rainy,22,31.2,No,No,High
2024-05-29,Airport,895,Bus,Rainy,36,49.2,No,No,Medium
2025-04-07,Airport,649,Car,Sunny,29,56.0,No,No,Medium
2024-01-03,Industrial,522,Bike,Cloudy,35,64.1,No,No,Low
2025-05-21,Airport,819,Truck,Sunny,33,40.2,No,No,Low
2024-04-11,Downtown,563,Car,Rainy,31,53.5,No,No,Low
2024-06-11,Industrial,394,Truck,Sunny,23,65.2,No,No,Low
2025-03-15,Industrial,765,Car,Sunny,25,55.4,No,No,Low
2024-01-09,Airport,472,Car,Foggy,20,55.1,No,No,Low
2024-04-15,South,789,Bus,Sunny,38,42.4,No,No,Medium
2025-07-30,Industrial,638,Bus,Sunny,22,60.5,No,No,Low
2024-03-29,Airport,266,Car,Cloudy,28,69.4,No,No,Low
2024-09-11,West,720,Truck,Rainy,39,59.2,No,No,Medium
2025-06-05,East,664,Truck,Cloudy,25,48.4,No,No,Low
2025-05-26,Downtown,663,Car,Foggy,36,50.5,No,No,Medium
2026-02-27,West,651,Car,Sunny,30,62.0,No,No,Low
2025-03-09,Downtown,356,Bus,Sunny,24,67.8,No,No,Low
2025-08-23,Industrial,181,Car,Sunny,25,66.8,No,No,Low
2024-04-28,West,253,Car,Sunny,21,65.9,No,No,Low
2024-06-16,West,1036,Truck,Sunny,26,33.6,No,No,Medium
2024-12-09,West,656,Car,Sunny,33,56.8,No,No,Low
2025-05-26,South,416,Bus,Sunny,41,71.4,No,No,Low
2024-02-15,Downtown,831,Bike,Sunny,19,51.8,No,No,Low
2024-11-25,Industrial,1039,Truck,Sunny,34,31.4,No,Yes,Medium
2024-08-16,East,537,Car,Rainy,27,64.5,No,No,Low
2025-01-12,West,567,Truck,Rainy,33,56.3,No,No,Low
2024-01-07,North,255,Truck,Cloudy,28,73.8,Yes,No,Medium
2024-04-16,North,249,Bike,Cloudy,40,63.0,No,Yes,Low
2026-05-15,Industrial,359,Truck,Cloudy,34,69.6,No,No,Low
2025-08-29,East,1169,Bus,Sunny,30,35.2,No,No,Medium
2025-04-08,Downtown,523,Bus,Sunny,21,65.1,No,No,Low
2025-02-20,South,427,Bus,Cloudy,20,63.9,No,No,Low
2024-02-11,North,949,Car,Rainy,19,42.0,No,No,Medium
2024-02-01,West,87,Bus,Sunny,21,75.5,No,No,Low
2024-07-21,Industrial,176,Car,Cloudy,18,79.0,No,No,Low
2024-04-04,Downtown,591,Bike,Sunny,41,48.4,No,No,Low
2025-11-30,South,372,Bus,Rainy,22,64.1,No,No,Low
2025-05-25,East,661,Car,Sunny,38,45.6,No,No,Low
2026-03-11,East,250,Bike,Sunny,26,72.0,No,No,Low
2024-08-12,Downtown,225,Bike,Cloudy,23,70.0,No,No,Low
2025-06-30,Airport,300,Bus,Cloudy,23,70.0,No,No,Low
2025-08-28,Industrial,822,Truck,Rainy,24,48.1,No,No,Medium
2025-05-17,Downtown,619,Bus,Cloudy,28,51.2,No,Yes,Low
2026-01-04,Downtown,818,Car,Sunny,21,50.3,No,No,Low
2025-01-17,East,709,Car,Sunny,41,58.6,No,No,Low
2024-06-27,Industrial,987,Truck,Sunny,27,41.5,No,No,Medium
2024-06-30,Industrial,877,Bike,Rainy,23,43.9,No,No,Medium
2024-04-16,South,956,Car,Sunny,20,43.8,No,No,Medium
2024-01-12,North,747,Car,Sunny,19,55.1,No,No,Low
2026-06-24,East,920,Truck,Cloudy,36,42.2,No,No,Medium
2025-04-07,South,485,Car,Sunny,23,54.6,No,No,Low
2024-04-05,West,664,Bike,Rainy,37,46.4,No,No,Low
2024-12-05,East,785,Truck,Cloudy,30,55.6,No,No,Low
2024-02-25,East,165,Car,Sunny,24,71.4,No,No,Low
2025-10-15,East,534,Car,Sunny,39,62.6,No,No,Low
2025-01-14,North,652,Bike,Sunny,26,49.9,No,No,Low
2024-03-28,Airport,782,Bike,Foggy,30,55.7,No,No,Medium
2026-06-21,South,973,Car,Sunny,36,37.1,Yes,No,High
2026-02-14,North,676,Bus,Rainy,39,49.0,No,No,Medium
2024-09-21,Airport,709,Car,Sunny,26,43.6,No,No,Medium
2025-08-24,Downtown,312,Bike,Sunny,21,62.5,No,No,Low
2026-06-07,East,486,Truck,Sunny,19,64.6,No,No,Low
2025-09-25,Industrial,480,Bike,Sunny,25,67.8,No,No,Low
2025-01-16,Airport,382,Truck,Sunny,39,63.7,No,No,Low
2024-11-03,Airport,566,Truck,Sunny,24,62.4,No,No,Low
2026-02-16,Airport,507,Car,Cloudy,34,67.7,No,No,Low
2024-01-30,Airport,951,Bus,Rainy,29,42.0,No,No,Medium
2026-04-23,East,463,Car,Cloudy,32,68.5,No,No,Low
2025-07-18,North,271,Truck,Rainy,30,67.2,No,No,Low
2025-10-24,North,940,Truck,Cloudy,42,49.4,No,No,Medium
2025-10-24,Airport,950,Car,Sunny,40,42.0,No,No,Medium
2025-01-20,South,684,Bus,Cloudy,30,44.6,No,No,Medium
2025-11-09,Industrial,798,Truck,Sunny,26,48.1,No,No,Low
2025-11-02,South,642,Bus,Sunny,37,56.3,No,No,Low
2026-01-08,East,838,Truck,Sunny,19,44.5,No,No,Low
2026-01-13,Industrial,1077,Bike,Rainy,23,33.9,No,No,High
2024-04-09,Industrial,690,Truck,Rainy,39,46.4,No,No,Medium
2024-12-29,Airport,659,Truck,Sunny,36,48.6,No,No,Low
2024-02-24,West,585,Car,Cloudy,39,57.6,No,No,Low
2024-02-25,North,286,Truck,Sunny,32,65.6,No,No,Low
2025-05-14,North,259,Truck,Cloudy,42,66.6,No,Yes,Low
2026-03-15,West,73,Bike,Cloudy,30,75.1,No,No,Low
2024-01-15,North,491,Car,Cloudy,40,56.4,No,No,Low
2025-01-27,South,818,Bus,Sunny,32,55.3,No,Yes,Low
2025-03-20,South,137,Bike,Sunny,30,73.5,No,No,Low
2024-08-04,West,780,Bus,Sunny,30,41.8,No,No,Medium
2024-02-19,Industrial,684,Car,Sunny,21,59.6,No,No,Low
2024-07-29,Industrial,852,Car,Sunny,26,41.9,No,No,Low
2026-04-30,Industrial,463,Car,Sunny,37,61.5,No,No,Low
2024-07-25,East,636,Truck,Sunny,40,53.6,No,No,Low
2024-01-14,Downtown,825,Bike,Sunny,41,47.0,No,No,Low
2025-04-12,East,813,Car,Sunny,27,49.5,Yes,No,Medium
2026-01-26,Airport,654,Car,Sunny,28,59.8,No,No,Medium
2024-10-01,South,630,Truck,Sunny,26,61.8,No,No,Low
2025-10-26,North,839,Car,Foggy,36,52.4,No,No,Medium
2025-09-17,West,909,Car,Rainy,22,50.6,No,No,Medium
2026-06-27,Downtown,793,Car,Sunny,39,47.3,No,No,Low
2025-06-15,Industrial,916,Car,Sunny,39,47.4,No,No,Medium
2026-05-09,Downtown,428,Car,Cloudy,33,69.9,No,No,Low
2024-09-03,Downtown,643,Bus,Cloudy,20,60.3,No,No,Low
2026-05-27,South,571,Car,Foggy,30,49.2,Yes,No,Medium
2026-03-21,Industrial,802,Truck,Rainy,32,40.9,No,No,Medium
2026-05-14,West,910,Bike,Rainy,21,35.6,No,No,High
2024-12-29,West,984,Truck,Rainy,22,45.6,No,Yes,Medium
2024-09-17,North,1179,Car,Rainy,24,27.8,No,No,High
2024-02-17,West,444,Car,Rainy,34,54.2,No,No,Medium
2026-01-23,East,816,Bike,Rainy,40,43.4,No,No,Low
2025-01-31,West,384,Truck,Cloudy,40,68.6,No,No,Low
2024-10-28,North,840,Bike,Cloudy,40,48.4,No,No,Medium
2025-10-09,North,770,Truck,Cloudy,40,57.2,No,No,Medium
2025-12-11,Industrial,1013,Car,Rainy,39,40.5,No,No,Medium
2026-04-07,Downtown,909,Car,Sunny,26,40.6,Yes,Yes,High
2025-11-30,Airport,815,Car,Cloudy,19,53.4,No,No,Low
2025-09-22,West,651,Bus,Rainy,40,47.0,No,No,Medium
2025-01-31,South,725,Car,Sunny,42,50.0,No,No,Low
2026-02-12,Industrial,1078,Bus,Rainy,23,33.9,No,No,High
2026-01-22,East,322,Car,Sunny,36,69.1,No,No,Low
2025-12-27,North,493,Truck,Cloudy,39,63.3,No,No,Low
2026-03-13,West,704,Bus,Foggy,23,55.8,No,No,Low
2024-12-23,Industrial,904,Truck,Sunny,37,35.8,No,No,Medium
2025-11-15,North,600,Bus,Foggy,21,57.0,No,No,Low
2025-06-13,Airport,607,Bike,Cloudy,28,50.7,No,No,Low
2026-03-02,Downtown,887,Car,Sunny,39,39.5,No,No,Medium
2025-07-04,Airport,201,Bike,Cloudy,22,74.0,No,No,Low
2024-03-30,North,576,Truck,Cloudy,26,63.0,No,No,Low
2025-03-19,East,972,Car,Cloudy,42,34.1,No,No,Medium
2025-01-01,South,674,Truck,Cloudy,30,45.0,No,No,Low
2024-06-09,North,583,Bike,Rainy,38,59.7,No,No,Low
2025-07-20,Downtown,605,Car,Sunny,20,58.8,No,No,Low
2025-02-26,North,416,Bus,Sunny,21,56.4,No,No,Low
2025-04-17,Downtown,642,Truck,Cloudy,36,57.3,No,No,Low
2025-11-18,Downtown,553,Truck,Cloudy,32,58.9,No,No,Low
2024-06-05,South,1238,Truck,Foggy,25,35.5,No,No,High
2026-05-10,Industrial,819,Truck,Rainy,27,42.2,No,No,Medium
2025-10-23,Airport,1337,Truck,Rainy,26,20.5,No,No,High
2024-01-20,Downtown,964,Bike,Rainy,26,48.4,Yes,No,High
2025-01-09,Airport,576,Truck,Sunny,29,56.0,No,No,Low
2025-12-01,North,1000,Bike,Sunny,22,47.0,No,No,Medium
2024-02-11,North,708,Car,Sunny,34,58.7,No,No,Low
2026-06-21,Industrial,886,Truck,Sunny,26,41.6,No,No,Low
2025-10-31,West,565,Car,Cloudy,34,60.4,No,No,Low
2026-03-22,Downtown,314,Bus,Sunny,26,64.4,No,No,Low
2025-01-05,Airport,905,Car,Cloudy,21,50.8,No,No,Medium
2024-08-03,Industrial,418,Bike,Sunny,23,71.3,No,Yes,Low
2025-08-09,North,836,Truck,Rainy,36,47.6,No,No,Low
2024-08-09,East,405,Bike,Sunny,36,71.8,No,No,Low
2024-06-20,South,55,Bike,Cloudy,22,75.8,No,Yes,Low
2026-05-30,East,323,Bus,Cloudy,37,75.1,No,No,Low
2024-04-05,North,704,Car,Rainy,34,44.8,No,No,Medium
2025-03-15,Airport,854,Bike,Sunny,40,50.8,No,No,Low
2024-09-17,Airport,246,Car,Sunny,24,62.2,No,No,Low
2025-06-19,Downtown,208,Bike,Cloudy,29,76.7,No,No,Low
